#normalized=false
#log_axis=false
#tN	2.0	17.0	21.0	68.0	95.0	102.0	122.0	125.0	125.0	141.0	147.0	158.0	162.0	174.0	231.0	310.0	770.0	818.0	961.0	5025.0	13128.0	15157.0	17899.0	20509.0	22381.0	25048.0	28256.0	32683.0	37406.0	40795.0	45009.0	50948.0	58813.0	65803.0	73894.0	83469.0	92963.0	102122.0	113192.0	124702.0	138383.0	152906.0	163830.0	178498.0	193114.0	206707.0	219117.0	235866.0	253475.0	276550.0	300850.0	328647.0	358126.0	394043.0	426370.0	456044.0	492978.0	529434.0	556620.0	594575.0	634532.0	669957.0	705548.0	743656.0	788742.0	819838.0	858530.0	894477.0	932589.0	977414.0	1019559.0	1063715.0	1100141.0	1138533.0	1171472.0	1201207.0	1230421.0	1259292.0	1289897.0	1319619.0	1349038.0	1380580.0	1410740.0	1439125.0	1465015.0	1493850.0	1522979.0	1550764.0	1582526.0	1608669.0	1639702.0	1671003.0	1705995.0	1739367.0	1764716.0	1790522.0	1812477.0	1836141.0	1857329.0	1878829.0	1900021.0	1919150.0	1935022.0	1943777.0	1952758.0	
#bin_mitte	2001-05	2001-06	2001-07	2001-08	2001-09	2001-10	2001-11	2001-12	2002-01	2002-02	2002-03	2002-04	2002-05	2002-06	2002-07	2002-08	2002-09	2002-10	2002-11	2002-12	2003-01	2003-02	2003-03	2003-04	2003-05	2003-06	2003-07	2003-08	2003-09	2003-10	2003-11	2003-12	2004-01	2004-02	2004-03	2004-04	2004-05	2004-06	2004-07	2004-08	2004-09	2004-10	2004-11	2004-12	2005-01	2005-02	2005-03	2005-04	2005-05	2005-06	2005-07	2005-08	2005-09	2005-10	2005-11	2005-12	2006-01	2006-02	2006-03	2006-04	2006-05	2006-06	2006-07	2006-08	2006-09	2006-10	2006-11	2006-12	2007-01	2007-02	2007-03	2007-04	2007-05	2007-06	2007-07	2007-08	2007-09	2007-10	2007-11	2007-12	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01
67,276	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,035	0,087	0,277	0,503	0,746	0,590	0,746	1,023	1,214	1,543	1,630	2,220	2,671	3,295	3,382	3,468	3,885	4,578	5,393	6,503	8,255	11,220	12,139	12,451	11,636	11,654	11,966	12,902	13,700	14,445	17,047	19,214	21,191	23,532	25,093	26,654	28,076	29,498	32,290	34,371	37,354	40,267	42,435	44,221	46,267	49,111	51,071	53,603	56,585	59,187	62,620	64,996	66,487	69,089	72,054	74,482	77,152	79,754	81,748	83,465	85,702	88,060	90,349	93,055	95,552	97,997	100,390	102,558	104,795	107,812	110,379	112,807	114,922	116,795	119,969	122,466	124,634	126,264	128,414	130,564	132,975	135,576	138,455	140,796	142,391	144,368	
100,914	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,046	0,092	0,104	0,092	0,162	0,347	0,416	0,301	0,335	0,405	0,532	0,659	0,844	0,960	1,283	1,607	1,780	1,861	1,988	1,977	2,243	2,717	3,619	4,382	6,046	6,717	7,723	7,838	8,139	8,046	7,226	6,960	7,781	8,428	9,006	9,908	10,521	11,388	12,208	12,937	13,642	14,301	15,261	15,769	16,636	17,723	18,532	19,746	20,590	21,735	22,371	23,434	24,937	25,978	26,706	27,504	28,313	29,007	29,700	30,752	31,862	32,625	33,989	35,007	35,631	36,845	37,527	38,487	39,227	40,325	41,469	42,545	43,573	44,880	45,943	46,602	47,504	48,418	49,516	50,429	50,938	51,296	51,863	52,695	53,389	54,129	
151,371	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,008	0,039	0,039	0,069	0,077	0,077	0,100	0,224	0,247	0,247	0,270	0,270	0,277	0,370	0,416	0,416	0,624	0,755	0,940	1,033	1,056	1,017	1,071	1,179	1,210	1,225	1,387	1,804	2,320	3,129	4,185	5,125	5,364	5,619	5,565	5,495	5,449	5,318	5,033	5,195	5,488	5,680	5,696	5,989	6,220	6,513	6,913	7,260	7,576	7,900	8,332	8,709	9,064	9,434	9,750	9,919	10,343	10,798	11,253	11,600	11,877	12,185	12,563	12,910	13,326	13,627	14,035	14,382	14,783	15,384	15,684	16,078	16,332	16,671	16,871	17,234	17,604	17,881	18,197	18,490	18,844	19,091	19,415	19,700	19,985	20,255	
227,056	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,005	0,015	0,015	0,015	0,021	0,021	0,026	0,031	0,051	0,062	0,092	0,092	0,098	0,113	0,200	0,241	0,319	0,349	0,401	0,478	0,575	0,617	0,611	0,668	0,724	0,735	0,724	0,735	0,719	0,796	0,848	0,951	1,069	1,418	1,747	2,050	2,456	2,944	3,191	3,366	3,525	3,823	3,987	4,049	4,152	4,239	4,414	4,460	4,460	4,517	4,501	4,609	4,470	4,501	4,532	4,434	4,398	4,445	4,424	4,527	4,552	4,614	4,737	4,856	4,886	5,041	5,123	5,241	5,359	5,534	5,703	5,816	5,935	6,140	6,269	6,515	6,716	6,798	6,844	6,931	7,106	7,255	7,389	7,481	7,558	
340,584	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,007	0,007	0,007	0,007	0,007	0,007	0,003	0,000	0,000	0,007	0,014	0,010	0,014	0,024	0,021	0,034	0,062	0,103	0,144	0,171	0,223	0,260	0,301	0,339	0,370	0,360	0,360	0,387	0,414	0,425	0,421	0,418	0,428	0,445	0,445	0,507	0,562	0,599	0,665	0,692	0,726	0,795	0,846	0,880	0,949	1,052	1,165	1,326	1,432	1,545	1,747	1,908	2,042	2,158	2,261	2,350	2,470	2,538	2,638	2,716	2,819	2,881	2,970	3,004	3,045	3,059	3,045	3,066	3,045	3,056	3,073	2,987	2,956	2,936	2,919	2,946	2,987	2,946	2,953	2,942	2,905	2,881	2,901	
510,876	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,002	0,005	0,005	0,005	0,007	0,009	0,009	0,009	0,016	0,014	0,018	0,023	0,021	0,023	0,025	0,041	0,043	0,059	0,080	0,112	0,146	0,167	0,185	0,194	0,222	0,215	0,203	0,212	0,226	0,228	0,231	0,253	0,267	0,279	0,290	0,297	0,320	0,345	0,343	0,349	0,375	0,386	0,397	0,411	0,438	0,445	0,457	0,470	0,480	0,491	0,514	0,532	0,564	0,571	0,589	0,617	0,639	0,660	0,667	0,715	0,776	0,795	0,843	0,902	0,939	1,016	1,087	1,158	1,201	1,247	1,290	1,354	1,393	1,434	1,503	1,546	1,564	
766,314	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,002	0,002	0,003	0,005	0,005	0,003	0,006	0,012	0,011	0,012	0,014	0,012	0,017	0,015	0,026	0,043	0,052	0,058	0,082	0,100	0,104	0,108	0,123	0,128	0,131	0,126	0,126	0,114	0,110	0,117	0,114	0,131	0,142	0,134	0,139	0,143	0,148	0,148	0,161	0,164	0,169	0,167	0,175	0,180	0,199	0,202	0,218	0,222	0,227	0,233	0,231	0,236	0,233	0,242	0,251	0,256	0,256	0,271	0,291	0,295	0,292	0,300	0,309	0,312	0,311	0,314	0,329	0,343	0,347	0,362	
1149,471	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,002	0,002	0,002	0,002	0,002	0,002	0,002	0,002	0,002	0,002	0,002	0,002	0,002	0,002	0,004	0,004	0,004	0,005	0,005	0,003	0,005	0,005	0,007	0,007	0,007	0,010	0,010	0,010	0,012	0,017	0,022	0,021	0,026	0,031	0,039	0,042	0,053	0,058	0,059	0,059	0,060	0,063	0,069	0,074	0,074	0,077	0,077	0,076	0,071	0,072	0,076	0,075	0,073	0,074	0,075	0,077	0,081	0,086	0,090	0,096	0,099	0,101	0,098	0,099	0,107	0,113	0,115	0,116	0,115	0,119	0,121	0,121	0,124	0,121	0,126	0,123	0,123	0,128	0,128	
1724,207	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,001	0,001	0,001	0,001	0,001	0,002	0,001	0,001	0,002	0,003	0,003	0,005	0,005	0,005	0,005	0,005	0,007	0,007	0,009	0,009	0,013	0,014	0,016	0,016	0,018	0,021	0,022	0,022	0,024	0,028	0,032	0,028	0,031	0,034	0,035	0,037	0,035	0,037	0,037	0,037	0,038	0,037	0,039	0,041	0,043	0,041	0,043	0,044	0,046	0,048	0,050	0,050	0,050	0,051	0,054	0,051	0,054	0,051	0,050	0,049	
2586,311	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,001	0,001	0,001	0,001	0,001	0,000	0,001	0,000	0,000	0,001	0,002	0,002	0,002	0,003	0,003	0,003	0,003	0,003	0,003	0,003	0,004	0,005	0,006	0,006	0,005	0,007	0,008	0,008	0,009	0,009	0,009	0,009	0,009	0,011	0,011	0,012	0,013	0,013	0,013	0,014	0,014	0,014	0,014	0,013	0,013	0,012	0,014	0,014	0,014	0,016	0,017	0,019	0,020	0,021	
